序号,新闻内容
70,12月14日，2023年度“成电杰出学生”（本科生）答辩会在清水河校区举行。来自各学院的20位优秀本科生从学业成绩、科研成果、志愿活动、文艺体育等方面展示了学习实践成果，最终角逐10名“成电杰出学生”。校党委副书记申小蓉、相关部门负责人担任评委。
71,12月13日，2024届全省普通高校毕业生就业创业工作视频会举行。四川省委教育工委书记，教育厅党组书记、厅长余孝其，人力资源社会保障厅副厅长、党组成员刘晓博出席会议并讲话，省委教育工委委员，教育厅党组成员、副厅长陈朝先主持会议。校党委副书记申小蓉，相关职能部门、各学院负责人，毕业年级辅导员在清水河校区分会场参会。
72,12月14日，民革成都市委会里赞主委一行来校调研并参加民革电子科技大学支部组织生活会，校党委副书记靳敏会见来宾，并就学校统战工作和民革支部自身建设等相关情况进行了深入交流。校民革支部党员、党委统战部负责人参加组织生活会。
73,12月14日，副校长胡俊一行到复旦大学调研，双方围绕人才育引用一体化发展、教育评价改革、教师和职工队伍建设、师德师风建设等进行了交流研讨。学校党委教工部、人力资源部、人才办等部门负责人参加调研。
74,12月14日，西南高校教师教学发展联盟2023年会在成都举行，信通学院段景山老师作题为“教学变革之道，数字时代下的个人经验总结”的专题分享，教师发展中心相关人员参会。
75,12月14日，2023年国际高性能医疗器械创新生态峰会在深圳市召开，电子科技大学荣获2023生物医学工程创新高地奖，生命学院院长陈华富代表学校领奖，并在学科交叉创新论坛作题为“精神疾病脑网络模式识别与疾病影像表征”的学术报告。
76,12月13日，英才学院与马克思主义学院举行2023年思政课程改革研讨会，双方就思政课改革创新思路与方案，第一、二课堂协同融合等进行了深入交流。
77,12月13日，深圳市科创委副主任、市外国专家局局长黎慧来，深圳市教育局主任督学蔡茂洲到深圳高研院调研，深圳市科创委、教育局、财政局、龙华区政府相关负责人参加调研。
78,12月13日，中国长江电力股份有限公司科学技术研究中心副主任黎海凡一行到校访问，双方就机器人、人工智能、新能源等进行了深入交流。机电学院、自动化学院、智能计算研究院、产研院相关负责人参加活动。
79,12月12日，计算机（网安）学院开展“访企拓岗”活动，邀请成都安恒信息技术有限公司来院交流，并举行安恒星火励学金颁奖仪式。双方围绕就业招聘、人才培养、校企合作等进行了深入交流。
80,近日，由 IEEE工业应用学会（IAS）西南交通大学学生分会主办、IEEE电力电子学会（PELS）电子科技大学学生分会协办的第四届中国电气工程国际青年会议在成都召开。我校博士研究生韩雨伯担任大会主席。
81,12月7日，校长曾勇、校党委副书记申小蓉与中国国际大学生创新大赛（2023）获奖学生代表座谈交流，祝贺同学们获得优异成绩，勉励同学们敢闯敢创、善创善为，努力为国家建设发展贡献青春力量。校团委、教务处、研究生院负责人参加交流。
82,12月8日，2023年“立人伴我行”立人文化节闭幕式暨颁奖典礼在清水河校区举行，对暑期立人行优秀队伍、年度立人菁英学员、优秀立人班成员、十佳立人班进行了表彰。19个立人班的同学们展现了一年来的成长和收获。校党委副书记申小蓉出席活动并致辞。相关部门负责人出席活动。
83,12月7日，2023年优秀班集体创建“成电杰出班级”答辩会在清水河校区举行，来自各学院的19个优秀班集体参加答辩，角逐10个“成电杰出班级”。校党委副书记申小蓉出席答辩会并致辞。校内外专家评委，各学院党委副书记、新入职辅导员和各年级学生骨干代表等参加答辩会。
84,12月8日，副校长罗光春到海南陵水黎安国际教育创新试验区调研，与试验区管理局就我校入驻办学四方协议进行座谈交流，并围绕促进格拉斯哥海南学院和试验区教育事业健康发展进行了深入研讨。国际处、国资处和学院负责人参加座谈。
85,12月6日，外研社“教学之星”大赛全国总决赛圆满闭幕，我校外国语学院教学团队（吴菲、孙建蕾、胡杰辉、陈大建、牟柳）荣获全国总决赛季军。
86,12月3日-6日，第22届中国大学生游泳锦标赛总决赛在厦门举行，来自清华大学、上海交通大学、复旦大学等80所高校的538名运动员参赛，我校游泳代表队在邓运来教练的带领下共有4位队员参赛，荣获2金1铜。
87,近日，2023年中国大学生五人制足球联赛（男子组南区）在浙江湖州开赛，共有28支高校足球队参赛。我校高水平足球代表队取得第四名的成绩，并晋级全国总决赛。李敬老师获评优秀教练员，罗力老师获评优秀领队。
88,12月8日，数学学院党委开展“对话古蜀文明·增强文化自信”主题培训，学院党委委员、纪委委员、师生党支部委员等到广汉三星堆博物馆举行专题学习培训。
89,12月8日，医学院举办“医学院教工之家”揭牌仪式，校工会和学院负责人为活动室揭牌。会后，学院教职工开展了“趣味戳戳绣，把福迎回家”手工DIY工会活动。
90,12月6日-8日，后勤保障部到贵州岑巩县开展定点帮扶工作，就塔山村党支部共建、农特产品消费帮扶、特色文创产品开发等进行考察调研。
91,12月7日，厦门火炬高新区管委会总经济师张斌娜、电子科技大学厦门（海西）校友会秘书长贺中春携30余家企业代表来校交流，与信通学院、电子学院、材料学院等单位进行合作洽谈。合作发展部和相关学院负责人参加交流。本次活动由厦门火炬高新区管委会主办，电子科技大学厦门（海西）校友会协办。
92,12月7日，电子学院党委召开全体会议，专题研讨师德师风建设和意识形态工作，对近期重点工作进行研究部署。
93,12月7日，经管学院举行经管试验班专业核心课程建设专题研讨会，就专业核心课程体系设计等进行了深入研讨。
94,12月7日，集成电路学院院长张万里为学院教职工代表讲授主题党课，作了题为“集成电路学科如何实现高水平科技自立自强”的报告。
95,"12月6日，由教师发展中心主办、计算机（网安）学院承办的“学术沙龙”举行，邀请澳大利亚莫纳什大学李元放副教授作了题为“How to Generate Your Scene Graphs: Challenges, Techniques &amp; Applications”的学术讲座。"
96,12月6日，研究生院开展“到祖国最需要的地方去·走进名企”主题实践系列活动，组织研究生前往中兴通讯成都研究所参观交流。
97,12月6日，百度副总裁璩静带领团队来校访问，在清水河校区开展了“生成未来 / 百度AI原生应用技术进校园”活动。校党委副书记申小蓉会见来宾，并在活动中致辞。
98,12月5日，校党委副书记、纪委书记彭岚到格拉斯哥海南学院调研，深入了解学院办学情况。调研期间，彭岚与学院领导班子和管理人员进行座谈，围绕异地中外合作办学中的廉政风险防控进行深入交流。学校审计处、纪委办公室（监察处）相关负责人参加调研。
99,12月6日，副校长罗光春一行到深圳高研院调研，对高研院的发展规划与学科建设、国际合作与交流等进行了指导。
100,12月5日，第八届教育部直属高校精准帮扶典型项目推选结果正式公布，我校申报的《聚焦思州非遗传承，助力岑巩文化振兴》成功入选精准帮扶典型项目，牵头申报的《探索区域组团帮扶新模式，助推消费帮扶再上新台阶》成功入选组团式帮扶典型项目。这是我校连续6年入选教育部精准帮扶典型项目。
