,id,title,sourceUrl,addTime
5808,9fb33f9ce1fb4afaae952722e514602d,外国语学院“红心向党 我推荐”系列活动征稿通知,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70245,2019-03-19T00:00:00
5809,b3e2de4e289945738187416f21990c01,成电师生热议习近平总书记在学校思政课教师座谈会上重要讲话精神,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70269,2019-03-19T00:00:00
5810,0735864f642048a6a5961b803b5d8b41,戴钢书教授受邀参加学校思政课教师座谈会,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70273,2019-03-19T00:00:00
5811,9e7606e05a1c4691bb89949b2b8b1146,春季喷施农药的通知,https://hq.uestc.edu.cn/web/detail.jsp?article_id=6747,2019-03-19T00:00:00
5812,23adf479ae024a39b472122d7e25d7c5,2019中国大学生计算机设计大赛校内赛举办通知,https://www.jwc.uestc.edu.cn/info/ff808081698c387301698e3da6940012,2019-03-18T00:00:00
5813,b177289fdfe74f40a1f6a94d9422423e,【一周活动看板】3月18日-3月24日资讯集锦,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70225,2019-03-18T00:00:00
5814,b103a87c10824e33b446f0c477c5fcfd,习近平：用新时代中国特色社会主义思想铸魂育人 贯彻党的教育方针落实立德树人根本任务,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70255,2019-03-18T00:00:00
5815,ca5eeeb3c33d4564a263431a5597b76d,关于我校2019年上半年全国大学外语四、六级考试报名工作的通知,https://www.jwc.uestc.edu.cn/info/ff808081698c387301698e6cdb450020,2019-03-18T00:00:00
5816,8dd65d38c3294ac8976ad0eb4a85b1a7,关于组织电子科技大学大学生学科竞赛系列在线开放课程专项建设项目中期检查的通知,https://www.jwc.uestc.edu.cn/info/ff808081698c387301698f410885003f,2019-03-18T00:00:00
5817,14ca53f73bb1411d81417c89373f3dad,我校与宜宾市举行校地合作工作推进会,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70213,2019-03-17T00:00:00
5818,0418b3459f5444c19994bb04189b3b5e,我校全国两会代表委员接受媒体专访,https://news.uestc.edu.cn/?n=UestcNews.Front.DocumentV2.ArticlePage&Id=70170,2019-03-17T00:00:00
5819,d730c04d7e4b49c998a8652d2e00a67d,关于举办“第十二届全国大学生信息安全竞赛---创新实践能力赛”的通知,https://www.jwc.uestc.edu.cn/info/ff8080816977a3be01697b9b95870066,2019-03-14T00:00:00
5820,7163dde414294a719b6fcdcc02b73672,关于举办电子科技大学第二十九届大学生数学竞赛的通知,https://www.jwc.uestc.edu.cn/info/ff80808169727d620169758fa88b0046,2019-03-13T00:00:00
